# event_id	slug	status	round   (FIFA World Cup 2026, unique-tournament 16, season 58210)
15186710	mexico_v_south_africa	finished	1
15186720	south_korea_v_czech_republic	finished	1
15186836	canada_v_bosnia_and_herzegovina	finished	1
15186873	usa_v_paraguay	finished	1
15186526	qatar_v_switzerland	finished	1
15186850	brazil_v_morocco	finished	1
15186853	haiti_v_scotland	finished	1
15186874	australia_v_turkey	finished	1
15186899	germany_v_curacao	finished	1
15186945	netherlands_v_japan	finished	1
15186904	cote_divoire_v_ecuador	finished	1
15186951	sweden_v_tunisia	finished	1
15186783	spain_v_cape_verde	finished	1
15186837	belgium_v_egypt	finished	1
15186811	saudi_arabia_v_uruguay	finished	1
15186832	iran_v_new_zealand	finished	1
15186501	france_v_senegal	finished	1
15186773	iraq_v_norway	finished	1
15186854	argentina_v_algeria	finished	1
15186751	austria_v_jordan	finished	1
15186709	portugal_v_dr_congo	finished	1
15186504	england_v_croatia	finished	1
15186687	ghana_v_panama	finished	1
15186722	uzbekistan_v_colombia	finished	1
15186731	czech_republic_v_south_africa	finished	2
15186806	switzerland_v_bosnia_and_herzegovina	finished	2
15186798	canada_v_qatar	finished	2
15186490	mexico_v_south_korea	finished	2
15186878	usa_v_australia	finished	2
15186859	scotland_v_morocco	finished	2
15186856	brazil_v_haiti	finished	2
15186879	turkey_v_paraguay	finished	2
15186957	netherlands_v_sweden	finished	2
15186905	germany_v_cote_divoire	finished	2
15186906	ecuador_v_curacao	finished	2
15186963	tunisia_v_japan	finished	2
15186840	spain_v_saudi_arabia	finished	2
15186499	belgium_v_iran	finished	2
15186800	uruguay_v_cape_verde	finished	2
15186827	new_zealand_v_egypt	finished	2
15186502	argentina_v_austria	finished	2
15186769	france_v_iraq	finished	2
15186770	norway_v_senegal	finished	2
15186740	jordan_v_algeria	finished	2
15186858	portugal_v_uzbekistan	finished	2
15186672	england_v_ghana	finished	2
15186520	panama_v_croatia	finished	2
15186713	colombia_v_dr_congo	finished	2
15186821	switzerland_v_canada	finished	3
15186829	bosnia_and_herzegovina_v_qatar	finished	3
15186861	scotland_v_brazil	finished	3
15186864	morocco_v_haiti	finished	3
15186732	czech_republic_v_mexico	finished	3
15186744	south_africa_v_south_korea	finished	3
15186907	ecuador_v_germany	finished	3
15186908	curacao_v_cote_divoire	finished	3
15186972	japan_v_sweden	finished	3
15186973	tunisia_v_netherlands	finished	3
15186887	turkey_v_usa	finished	3
15186891	paraguay_v_australia	finished	3
15186537	norway_v_france	finished	3
15186771	senegal_v_iraq	finished	3
15186803	cape_verde_v_saudi_arabia	finished	3
15186841	uruguay_v_spain	finished	3
15186822	new_zealand_v_belgium	finished	3
15186828	egypt_v_iran	finished	3
15186624	croatia_v_ghana	finished	3
15186676	panama_v_england	finished	3
15186696	colombia_v_portugal	finished	3
15186717	dr_congo_v_uzbekistan	finished	3
15186734	jordan_v_argentina	finished	3
15186747	algeria_v_austria	finished	3
12813000	south_africa_v_canada	finished	6
12813012	brazil_v_japan	finished	6
12813014	germany_v_paraguay	finished	6
12812998	netherlands_v_morocco	finished	6
12812989	cote_divoire_v_norway	finished	6
12812995	france_v_sweden	finished	6
12813001	mexico_v_ecuador	finished	6
12813020	england_v_dr_congo	finished	6
12813013	belgium_v_senegal	finished	6
12812992	usa_v_bosnia_and_herzegovina	finished	6
12813004	spain_v_austria	finished	6
12812997	portugal_v_croatia	finished	6
12813019	switzerland_v_algeria	finished	6
12813018	australia_v_egypt	finished	6
12812999	argentina_v_cape_verde	finished	6
12813011	colombia_v_ghana	finished	6
12813009	canada_v_morocco	finished	5
12813010	paraguay_v_france	finished	5
12813006	brazil_v_norway	finished	5
12813007	mexico_v_england	finished	5
12812990	portugal_v_spain	finished	5
12813002	usa_v_belgium	finished	5
12812993	argentina_v_egypt	finished	5
12812991	switzerland_v_colombia	finished	5
12813016	france_v_morocco	finished	27
12812994	spain_v_belgium	finished	27
12813017	norway_v_england	finished	27
12813015	argentina_v_switzerland	finished	27
12813008	france_v_spain	notstarted	28
12812996	england_v_argentina	notstarted	28
12813003	l101_v_l102	notstarted	50
12813005	w101_v_w102	notstarted	29
